gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5494959664,win,Ranked Solo,2021-10-07 09:33:45,27m 59s,13,6,15,4.67:1,Double Kill,empty,Taliyah,Master,empty,Rumble,Flames of Fury,Graves,ImJony,Fizz,mangos1,Kalista,kkuk apantsak,Amumu,S10 l R1,Sett,W4rsz1,Taliyah,Karzzy11,Yone,Daisy Lesa,Kai'Sa,998 ZAMULEK,Nami,Esskeetit69
5494917490,lose,Ranked Solo,2021-10-07 08:50:59,26m 25s,11,4,5,4.00:1,Double Kill,ACE,Ryze,Master,empty,Gnar,Μαgnus,Qiyana,Don Arts,Ryze,Karzzy11,Jinx,S10 l R1,Nami,Paixdia,Irelia,Nice Guy Ben,Zac,amor ƒati,Singed,Kimchi3,Draven,Dräven,Soraka,KCaillou
5494903576,win,Ranked Solo,2021-10-07 08:11:01,35m 30s,7,6,10,2.83:1,Triple Kill,empty,Irelia,Master,empty,Zilean,TheDisconnect,Lillia,Balyy,Irelia,Karzzy11,Ezreal,sorry to all,Tahm Kench,Acorderr,Akshan,toLyeV,Nunu & Willump,PD Zapdo,Tryndamere,2021Worlds0019,Lucian,Ukrainian ad,Karma,SPEEDOBEAR
5494838935,win,Ranked Solo,2021-10-07 07:28:20,34m 56s,0,9,13,1.44:1,empty,empty,Amumu,Master,empty,Tryndamere,nangman topsolo,Lee Sin,LngLng,LeBlanc,sorry to all,Ezreal,Ukrainian ad,Amumu,Karzzy11,Pantheon,0711 Jordan,Lillia,Balyy,Twisted Fate,LGBTQJPGMD,Lucian,TTVlateroviann99,Nami,Acorderr
5494822254,win,Ranked Solo,2021-10-07 06:22:37,20m 19s,5,3,6,3.67:1,empty,empty,Yone,Master,empty,Sylas,SiemaTuBoczek,Talon,Łéonard,Xerath,Jukester,Ezreal,Ukrainian ad,Bard,KCaillou,Riven,Sοlipsism,Rengar,Shére khán,Yone,Karzzy11,Kai'Sa,Homeless Qu4rtzo,Nami,Pinky windy
5494716642,lose,Ranked Solo,2021-10-07 05:54:08,28m 18s,5,9,10,1.67:1,Double Kill,empty,Irelia,Master,empty,Trundle,SiemaTuBoczek,Lillia,L V 2 3 3 ,Irelia,Karzzy11,Tristana,DˉB,Amumu,Banande,Kennen,DONT DISSAPEAR,Hecarim,Balyy,LeBlanc,PD Lynx,Kai'Sa,Ukrainian ad,Alistar,Toro Adventures
5494751416,win,Ranked Solo,2021-10-07 05:14:53,18m 54s,10,1,8,18.00:1,Triple Kill,empty,Graves,Master,empty,Yone,Snow Lion,Graves,Karzzy11,Sylas,play for me orFF,Tristana,II Anyone,Janna,Εlegance,Darius,huntiandi1,Jarvan IV,woshidoinb,Ekko,BMS KrDjoo,Kai'Sa,derin nefes al,Rakan,skain24
5494376631,win,Ranked Solo,2021-10-07 02:35:40,23m 11s,11,4,6,4.25:1,empty,empty,Yone,Master,empty,Olaf,El Monkito Vroum,Taliyah,Norwegian Tarzan,Irelia,Goldguns88,Miss Fortune,Nero Forte,Rakan,Thomas Brezina,Volibear,PrimeV9,Ekko,Tigazz,Yone,Karzzy11,Lucian,2021Worlds0171,Nami,BotIsLavaPathTop
5494370879,win,Ranked Solo,2021-10-07 01:56:07,25m 40s,6,1,14,20.00:1,Double Kill,MVP,LeBlanc,Master,empty,Akshan,Have a niice day,Shaco,ViNINE Fenrir,LeBlanc,Karzzy11,Kai'Sa,Hut ab vor dir,Bard,Everfrost King,Gnar,P0NI,Kayn,yeppocok,Zilean,flip my burgers ,Ezreal,lordnabos,Yuumi,Haeryung
5494293345,lose,Ranked Solo,2021-10-07 01:04:51,28m 43s,10,15,3,0.87:1,Triple Kill,empty,Sylas,Master,empty,Urgot,Akýs,Gragas,Madzzz,Sylas,Karzzy11,Lucian,not a chat user,Janna,Soft and Hairy,Lee Sin,Cursed Juju,Zed,TrL Zedophile,Cassiopeia,Sτoπεd Snαke,Yasuo,Cypiisuo,Sett,Reborn Love
5494257286,win,URF,2021-10-07 00:03:36,17m 22s,18,9,2,2.22:1,Double Kill,empty,Aatrox,empty,empty,Aatrox,Karzzy11,Ziggs,Marmitta Sgonfia,Thresh,EnrikR841,Graves,Karakron,Draven,CapraVietnamita,Ezreal,iCwTed,Caitlyn,Tom cruise euw,Kayle,Taziga,Lucian,Tabut NightMare,Vex,Vertical
5494172066,win,Ranked Solo,2021-10-06 23:27:26,25m 43s,16,1,15,31.00:1,Double Kill,MVP,LeBlanc,Master,empty,Renekton,bomb in bojler,Zed,Jungler3,LeBlanc,Karzzy11,Jhin,i like marksman,Bard,Ben Cristovao,Irelia,big noob xd lol,Graves,n00b k1ng,Twisted Fate,Chamana1,Miss Fortune,Yosikomo,Yuumi,lucky luna
5494138269,win,Ranked Solo,2021-10-06 22:53:46,24m 50s,11,6,8,3.17:1,Double Kill,empty,Yone,Master,empty,Singed,SasukeTheMighty,Lee Sin,Painfυl,Yone,Karzzy11,Lucian,duye,Janna,lucky luna,Tryndamere,What is Lethani,Lillia,sof,Yasuo,sofrito,Draven,Bhad bhabie13,Nami,Tempo Suta
5492533213,win,Ranked Solo,2021-10-06 02:39:46,26m 38s,15,5,9,4.80:1,Double Kill,MVP,Irelia,Master,empty,Renekton,ΚyM,Karthus,hypophysis,Irelia,Karzzy11,Xayah,Röyhkeä,Nami,LOOΠΔ Kirin,Riven,ddddddbbbbbb,Hecarim,Final Prince,Kayle,Suberhyber,Lucian,Nero Forte,Amumu,PropaPandah
5492398148,win,Ranked Solo,2021-10-06 02:01:23,22m 57s,12,3,3,5.00:1,Triple Kill,empty,Yone,Master,empty,Singed,LevelZeroFangirl,Graves,hypophysis,Yone,Karzzy11,Ezreal,Nero Forte,Bard,H0m1,Irelia,R0o2,Lillia,Nessberry,Qiyana,Ronaldinhooo,Lucian,next ye xiu,Nami,stuck in low
5492354526,lose,Ranked Solo,2021-10-06 01:26:59,23m 38s,0,8,2,0.25:1,empty,empty,Irelia,Master,empty,Sett,escape together,Shyvana,Final Prince,Irelia,Karzzy11,Aphelios,Nero Forte,Thresh,Hyosha,Gwen,jg diff victim,Kayn,manumatador,Yasuo,Ban Inugami Pls,Lucian,efiL,Zilean,ukaL mid account
